shirt_number,name,current_team,current_market_value,country,from_date,to_date,old_team,new_team,market_value,transfer_fee,current_league
14,Abdullah Otayf,Al-Hilal Saudi FC,€300k ,Saudi Arabia,"Feb 11, 2013",,Al-Hilal SFC,,,,Saudi Pro League
14,Abdullah Otayf,Al-Hilal Saudi FC,€300k ,Saudi Arabia,,"Feb 11, 2013",Al-Shabab,Al-Hilal SFC,,,Saudi Pro League
8,Abdulelah Al-Malki,Al-Hilal Saudi FC,€800k ,Saudi Arabia,"Jan 22, 2022",,Al-Hilal SFC,,,,Saudi Pro League
8,Abdulelah Al-Malki,Al-Hilal Saudi FC,€800k ,Saudi Arabia,"Jul 2, 2019","Jan 22, 2022",Al-Ittihad Club,Al-Hilal SFC,2000000.0,1650000.0,Saudi Pro League
8,Abdulelah Al-Malki,Al-Hilal Saudi FC,€800k ,Saudi Arabia,"Jul 1, 2015","Jul 2, 2019",Al-Wehda FC,Al-Ittihad Club,250000.0,,Saudi Pro League
8,Abdulelah Al-Malki,Al-Hilal Saudi FC,€800k ,Saudi Arabia,,"Jul 1, 2015",Al-Wehda FC U23,Al-Wehda FC,,,Saudi Pro League
16,Sami Al-Najei,Al-Nassr FC,€1.50m ,Saudi Arabia,"Sep 1, 2020",,Al-Nassr FC,,,,Saudi Pro League
16,Sami Al-Najei,Al-Nassr FC,€1.50m ,Saudi Arabia,"Jul 17, 2019","Sep 1, 2020",Damac FC,Al-Nassr FC,75000.0,,Saudi Pro League
16,Sami Al-Najei,Al-Nassr FC,€1.50m ,Saudi Arabia,"Jun 30, 2019","Jul 17, 2019",Al-Nassr FC,Damac FC,75000.0,,Saudi Pro League
16,Sami Al-Najei,Al-Nassr FC,€1.50m ,Saudi Arabia,"Feb 3, 2019","Jun 30, 2019",Al-Qadsiah FC,Al-Nassr FC,75000.0,,Saudi Pro League
16,Sami Al-Najei,Al-Nassr FC,€1.50m ,Saudi Arabia,"Jul 1, 2015","Feb 3, 2019",Al-Nassr FC,Al-Qadsiah FC,150000.0,,Saudi Pro League
16,Sami Al-Najei,Al-Nassr FC,€1.50m ,Saudi Arabia,,"Jul 1, 2015",Al-Nasr U23,Al-Nassr FC,,,Saudi Pro League
10,Salem Al-Dawsari,Al-Hilal Saudi FC,€1.80m ,Saudi Arabia,"Jun 30, 2018",,Al-Hilal SFC,,,,Saudi Pro League
10,Salem Al-Dawsari,Al-Hilal Saudi FC,€1.80m ,Saudi Arabia,"Jan 21, 2018","Jun 30, 2018",Villarreal,Al-Hilal SFC,800000.0,,Saudi Pro League
10,Salem Al-Dawsari,Al-Hilal Saudi FC,€1.80m ,Saudi Arabia,"Jul 1, 2011","Jan 21, 2018",Al-Hilal SFC,Villarreal,950000.0,,Saudi Pro League
10,Salem Al-Dawsari,Al-Hilal Saudi FC,€1.80m ,Saudi Arabia,,"Jul 1, 2011",Al-Hilal U23,Al-Hilal SFC,,,Saudi Pro League
19,Hattan Bahebri,Al-Shabab Club (Riyadh),€900k ,Saudi Arabia,"Aug 11, 2021",,Al-Shabab,,,,Saudi Pro League
19,Hattan Bahebri,Al-Shabab Club (Riyadh),€900k ,Saudi Arabia,"Feb 1, 2019","Aug 11, 2021",Al-Hilal SFC,Al-Shabab,400000.0,530000.0,Saudi Pro League
19,Hattan Bahebri,Al-Shabab Club (Riyadh),€900k ,Saudi Arabia,"Jul 1, 2016","Feb 1, 2019",Al-Shabab,Al-Hilal SFC,1000000.0,1300000.0,Saudi Pro League
19,Hattan Bahebri,Al-Shabab Club (Riyadh),€900k ,Saudi Arabia,"May 15, 2016","Jul 1, 2016",Al-Ittihad Club,Al-Shabab,,0.0,Saudi Pro League
19,Hattan Bahebri,Al-Shabab Club (Riyadh),€900k ,Saudi Arabia,"Jul 2, 2014","May 15, 2016",Khaleej,Al-Ittihad Club,,,Saudi Pro League
19,Hattan Bahebri,Al-Shabab Club (Riyadh),€900k ,Saudi Arabia,,"Jul 2, 2014",Al-Ittihad Club,Khaleej,,,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,"Oct 5, 2020",,Al-Hilal SFC,,,,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,"Oct 4, 2020","Oct 5, 2020",Al-Raed,Al-Hilal SFC,950000.0,,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,"Aug 19, 2019","Oct 4, 2020",Al-Hilal SFC,Al-Raed,950000.0,,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,"Aug 1, 2015","Aug 19, 2019",Al-Raed,Al-Hilal SFC,675000.0,,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,"Jun 1, 2015","Aug 1, 2015",Al-Ahli U23,Al-Raed,250000.0,500000.0,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,"Jun 1, 2013","Jun 1, 2015",Al-Ahli SFC,Al-Ahli U23,250000.0,,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,"Jun 1, 2011","Jun 1, 2013",Beira-Mar,Al-Ahli SFC,500000.0,,Saudi Pro League
11,Saleh Al-Shehri,Al-Hilal Saudi FC,€700k ,Saudi Arabia,,"Jun 1, 2011",Al-Ahli U23,Beira-Mar,,,Saudi Pro League
